Aplonis grandis_majna šalamúnska
Aplonis metallica_majna družná
Aplonis mysolensis_majna molucká
Aplonis opaca_majna mikronézska
Aplonis panayensis_majna zelená
Aplonis tabuensis_majna tichomorská
Aprositornis disjuncta_Yapacana Antbird
Aprosmictus erythropterus_kráľčik ušľachtilý
Aptenodytes patagonicus_tučniak veľký
Apteryx mantelli_kivi hnedý
Apus affinis_Little Swift
Apus apus_dážďovník obyčajný
Apus caffer_dážďovník lastovičí
Apus melba_Alpine Swift
Apus nipalensis_dážďovník domový
Apus pacificus_dážďovník bielochrbtý
Apus pallidus_dážďovník plavý
Apus unicolor_dážďovník morský
Aquila adalberti_orol iberský
Aquila chrysaetos_orol skalný
Ara ararauna_ara modro-žltá
Ara chloropterus_ara zelenokrídla
Ara macao_ara arakanga
Ara militaris_ara zelená
Ara severus_ara tmavočelá
Arachnothera everetti_pavučiarka škvrnitoprsá
Arachnothera flavigaster_pavučiarka okuliarnatá
Arachnothera longirostra_pavučiarka banánová
Arachnothera magna_pavučiarka čiarková
Aramides albiventris_chriašteľ bielobruchý
Aramides axillaris_chriašteľ červenokrký
Aramides cajanea_chriašteľ sivokrký
Aramides saracura_chriašteľ sarakura
Aramides wolfi_chriašteľ hnedochrbtý
Aramides ypecaha_chriašteľ ypekaha
Aramus guarauna_kurlan chriaštelí
Aratinga auricapillus_klinochvost svietivý
Aratinga jandaya_klinochvost zlatožltý
Aratinga nenday_klinochvost čiernohlavý
Aratinga weddellii_klinochvost tmavohlavý
Arborophila ardens_kurička hainanská
Arborophila atrogularis_kurička bielolíca
Arborophila campbelli_kurička malajská
Arborophila chloropus_kurička zelenonohá
Arborophila crudigularis_kurička bielobradá
Arborophila hyperythra_kurička tmavoboká
Arborophila javanica_kurička hnedobruchá
Arborophila orientalis_kurička jávska
Arborophila rufogularis_kurička hrdzavokrká
Arborophila torqueola_kurička himalájska
Arcanator orostruthus_podrastník hôrny
Archilochus alexandri_čmeľovec čiernobradý
Archilochus colubris_čmeľovec červenohrdlý
Ardea alba_Great Egret
Ardea cinerea_volavka popolavá
Ardea cocoi_volavka kokoi
Ardea herodias_volavka statná
Ardea intermedia_volavka prostredná
Ardea purpurea_volavka purpurová
Ardenna creatopus_víchrovník ružovonohý
Ardenna grisea_víchrovník tmavý
Ardenna pacifica_víchrovník klinochvostý
Ardeola bacchus_čaplička bielokrídla
Ardeola grayii_čaplička ryžová
Ardeola ralloides_čaplička vlasatá
Arenaria interpres_kamenár strakatý
Arenaria melanocephala_kamenár čiernohlavý
Argusianus argus_argus páví
Arizelocichla chlorigula_afrobyl zelenohrdlý
Arremon abeillei_strnádlik čiapočkatý
Arremon assimilis_strnádlik sivopásikavý
Arremon atricapillus_strnádlik čiernohlavý
Arremon aurantiirostris_strnádlik zlatozobý
Arremon basilicus_strnádlik santamartský
Arremon brunneinucha_strnádlik hnedotylový
Arremon castaneiceps_strnádlik olivový
Arremon costaricensis_strnádlik bieloprsý
Arremon crassirostris_strnádlik maskový
Arremon flavirostris_strnádlik žltozobý
Arremon franciscanus_strnádlik brazílsky
Arremon schlegeli_strnádlik zlatokrídly
Arremon semitorquatus_strnádlik ozdobný
Arremon taciturnus_strnádlik svrčavý
Arremon torquatus_strnádlik pásikár
Arremon virenticeps_strnádlik borinový
Arremonops chloronotus_strnádlik zelenochrbtý
Arremonops conirostris_strnádlik pláštikový
Arremonops rufivirgatus_strnádlik krovinový
Arremonops tocuyensis_strnádlik ranný
Arses telescopthalmus_monarch volánikový
