Anas georgica_黃嘴針尾鴨
Anas gracilis_灰鴨
Anas platyrhynchos_綠頭鴨
Anas poecilorhyncha_Indian Spot-billed Duck
Anas rubripes_北美黑鸭
Anas superciliosa_太平洋黑鸭
Anas undulata_非洲黄嘴鸭
Anas zonorhyncha_斑嘴鸭
Ancistrops strigilatus_栗翅鉤嘴雀
Andigena hypoglauca_灰胸山巨嘴鸟
Andigena laminirostris_扁嘴山巨嘴鸟
Andigena nigrirostris_黑嘴山巨嘴鸟
Androdon aequatorialis_齒嘴蜂鳥
Andropadus importunus_淡黑鋸嘴鵯
Anhima cornuta_角叫鴨
Anhinga anhinga_美洲蛇鵜
Anhinga melanogaster_黑腹蛇鵜
Anhinga novaehollandiae_澳洲蛇鵜
Anisognathus igniventris_朱腹岭裸鼻雀
Anisognathus lacrymosus_黃腹嶺裸鼻雀
Anisognathus notabilis_黑頦嶺裸鼻雀
Anisognathus somptuosus_蓝翅岭裸鼻雀
Anodorhynchus hyacinthinus_紫蓝金刚鹦鹉
Anodorhynchus leari_青蓝金刚鹦鹉
Anorrhinus galeritus_凤头犀鸟
Anorrhinus tickelli_棕犀鳥
Anous minutus_玄燕鸥
Anous stolidus_玄燕鷗〔白頂玄燕鷗，白頂黑燕鷗〕
Anser albifrons_白額雁
Anser anser_灰雁
Anser brachyrhynchus_粉脚雁
Anser caerulescens_雪雁
Anser canagicus_帝雁
Anser cygnoides_鴻雁
Anser erythropus_小白額雁
Anser fabalis_寒林豆雁
Anser indicus_斑头雁
Anser rossii_細嘴雁
Anser serrirostris_凍原豆雁
Anseranas semipalmata_鵲鵝
Anthipes monileger_白喉姬鶲
Anthipes solitaris_棕眉姬鶲
Anthochaera carunculata_Red Wattlebird
Anthochaera chrysoptera_小垂蜜鳥
Anthochaera lunulata_小垂蜜鸟
Anthochaera paradoxa_黃垂蜜鳥
Anthornis melanura_新西兰吸蜜鸟
Anthoscopus minutus_南攀雀
Anthoscopus musculus_灰攀雀
Anthracoceros albirostris_冠斑犀鸟
Anthracoceros coronatus_冠斑犀鳥
Anthracoceros malayanus_黑斑犀鸟
Anthracothorax dominicus_波多黎各芒果蜂鳥
Anthracothorax nigricollis_黑喉芒果蜂鳥
Anthracothorax prevostii_綠胸芒果蜂鳥
Anthreptes malacensis_褐喉直嘴太陽鳥
Anthreptes orientalis_东紫背食蜜鸟
Anthreptes simplex_純色直嘴太陽鳥
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_亞南極鷚
Anthus berthelotii_伯塞氏鷚
Anthus bogotensis_帕拉莫鷚
Anthus brevirostris_Puna Pipit
Anthus campestris_平原鷚
Anthus cervinus_红喉鹨
Anthus chacoensis_彭帕斯鷚〔查科鷚〕
Anthus cinnamomeus_非洲鷚
Anthus correndera_科雷鷚
Anthus crenatus_南非石鹨
Anthus furcatus_短嘴鷚
Anthus godlewskii_布氏鹨
Anthus gustavi_北鹨
Anthus hellmayri_赫氏鹨
Anthus hodgsoni_树鹨
Anthus leucophrys_純背鷚
Anthus lineiventris_条纹鹨
Anthus lutescens_淡黃鷚
Anthus nattereri_赭胸鷚
Anthus novaeseelandiae_新西兰鹨
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_岩鷚
Anthus pratensis_草地鷚
Anthus richardi_大花鷚〔理氏鷚〕
Anthus roseatus_粉紅胸鷚
Anthus rubescens_黃腹鷚〔美洲鷚〕
Anthus rufulus_田鹨
Anthus similis_長嘴鷚
Anthus spinoletta_水鷚〔小水鷚，褐色鷚〕
Anthus spragueii_斯普氏鷚
Anthus sylvanus_山鷚
Anthus trivialis_林鷚
Antigone antigone_Sarus Crane
Antigone canadensis_Sandhill Crane
Antigone rubicunda_Brolga
Antigone vipio_白枕鶴
Antilophia bokermanni_紅冠侏儒鳥
Antilophia galeata_盔侏儒鳥
Antrostomus arizonae_墨西哥三声夜鹰
Antrostomus badius_尤卡褐领夜鹰
Antrostomus carolinensis_加羅林夜鷹
Antrostomus noctitherus_波多黎各夜鷹
Antrostomus ridgwayi_黃領夜鷹
Antrostomus rufus_棕夜鷹
Antrostomus saturatus_美洲乌夜鹰
Antrostomus sericocaudatus_丝尾夜鹰
Antrostomus vociferus_三声夜鹰
Anumara forbesi_弗比斯氏南美黑鸝
Anumbius annumbi_木聚雀
Anurolimnas castaneiceps_栗头田鸡
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_查氏娇莺
Apalis cinerea_灰娇莺
Apalis flavida_黃胸嬌鶯
Apalis melanocephala_黑头娇莺
Apalis personata_黑脸娇莺
Apalis porphyrolaema_栗喉娇莺
Apalis ruddi_拉氏娇莺
Apalis rufogularis_棕喉娇莺
Apalis sharpii_夏普氏嬌鶯
Apalis thoracica_斑喉娇莺
Apaloderma narina_綠頰咬鵑
Apaloderma vittatum_斑尾咬鵑
Aphanotriccus audax_黑嘴斑翅霸鶲
Aphanotriccus capitalis_褐胸斑翅霸鹟
Aphantochroa cirrochloris_暗色刀翅蜂鸟
Aphelocephala leucopsis_普通白臉刺鶯
Aphelocoma californica_佛羅里達灌叢鴉
Aphelocoma coerulescens_丛鸦
Aphelocoma insularis_圣岛丛鸦
Aphelocoma ultramarina_灰胸丛鸦
Aphelocoma unicolor_純色灌叢鴉
Aphelocoma wollweberi_墨西哥丛鸦
Aphelocoma woodhouseii_伍德氏灌叢鴉
Aphrastura spinicauda_棘尾雷雀
Aplonis atrifusca_薩摩亞銅綠輝椋鳥
Aplonis cantoroides_小輝椋鳥
Aplonis grandis_褐翅椋鳥
Aplonis metallica_群辉椋鸟
Aplonis mysolensis_摩鹿加輝椋鳥
Aplonis opaca_密克羅尼西亞輝椋鳥
Aplonis panayensis_亚洲辉椋鸟
Aplonis tabuensis_波里尼西亞輝椋鳥
Aprositornis disjuncta_Yapacana Antbird
Aprosmictus erythropterus_紅翅鸚鵡
Aptenodytes patagonicus_國王企鵝
Apteryx mantelli_北岛褐几维鸟
Apus affinis_Little Swift
Apus apus_普通楼燕
Apus caffer_非洲白腰雨燕
Apus melba_Alpine Swift
Apus nipalensis_小白腰雨燕
Apus pacificus_叉尾雨燕〔白腰雨燕〕
Apus pallidus_淡色雨燕
Apus unicolor_純色雨燕
Aquila adalberti_亞德氏鵰
Aquila chrysaetos_金雕
Ara ararauna_琉璃金剛鸚鵡
Ara chloropterus_小金刚鹦鹉
Ara macao_緋紅麥鷍
Ara militaris_军金刚鹦鹉
Ara severus_偉格勒氏麥鷎
Arachnothera everetti_婆罗洲捕蛛鸟
Arachnothera flavigaster_大黃耳捕蛛鳥
