Ammonastes pelzelni_Gray-bellied Antbird
Ammoperdix heyi_koroptev arabská
Ammospiza caudacutus_Saltmarsh Sparrow
Ammospiza leconteii_LeConte's Sparrow
Ammospiza maritima_Seaside Sparrow
Ammospiza nelsoni_Nelson's Sparrow
Ampelioides tschudii_kotinga šupinkatá
Ampelion rubrocristatus_kotinga červenochocholkatá
Ampelion rufaxilla_kotinga rezavochocholatá
Ampelornis griseiceps_Gray-headed Antbird
Amphilais seebohmi_cetie dlouhoocasá
Amphispiza bilineata_strnádka černohrdlá
Amphispiza quinquestriata_strnádka pětipruhá
Anabacerthia amaurotis_hrnčiřík jihobrazilský
Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner
Anabacerthia ruficaudata_Rufous-tailed Foliage-gleaner
Anabacerthia striaticollis_hrnčiřík subtropický
Anabacerthia variegaticeps_hrnčiřík skořicovobrvý
Anabathmis newtonii_strdimil žlutoprsý
Anabathmis reichenbachii_strdimil žlutoskvrný
Anabazenops dorsalis_hrnčiřík bambusový
Anabazenops fuscus_hrnčiřík obojkový
Anairetes alpinus_tyrančík velehorský
Anairetes fernandezianus_tyrančík fernandezský
Anairetes flavirostris_tyrančík žlutozobý
Anairetes nigrocristatus_tyrančík černochocholatý
Anairetes parulus_tyrančík kadeřavý
Anairetes reguloides_tyrančík parukář
Anas acuta_ostralka štíhlá
Anas andium_Andean Teal
Anas carolinensis_čírka karolinská
Anas castanea_čírka kaštanová
Anas crecca_čírka obecná
Anas diazi_Mexican Duck
Anas flavirostris_Yellow-billed Teal
Anas fulvigula_Mottled Duck
Anas georgica_ostralka žlutozobá
Anas gracilis_Gray Teal
Anas platyrhynchos_kachna divoká
Anas poecilorhyncha_Indian Spot-billed Duck
Anas rubripes_kachna tmavá
Anas superciliosa_kachna proužkovaná
Anas undulata_kachna žlutozobá
Anas zonorhyncha_Eastern Spot-billed Duck
Ancistrops strigilatus_hrnčiřík hákozobý
Andigena hypoglauca_tukan horský
Andigena laminirostris_tukan modrý
Andigena nigrirostris_tukan černozobý
Androdon aequatorialis_kolibřík háčkozobý
Andropadus importunus_bulbul tmavý
Anhima cornuta_kamiš růžkatý
Anhinga anhinga_anhinga americká
Anhinga melanogaster_anhinga rezavá
Anhinga novaehollandiae_anhinga australská
Anisognathus igniventris_tangara červenobřichá
